Volatility 3 Framework 2.7.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xa08515462040	117	-	N/A	False	2024-06-11 16:43:55.000000 	N/A	Disabled
100	4	Registry	0xa08515499080	4	-	N/A	False	2024-06-11 16:43:41.000000 	N/A	Disabled
332	4	smss.exe	0xa08515e11040	2	-	N/A	False	2024-06-11 16:43:55.000000 	N/A	Disabled
448	424	csrss.exe	0xa085162d3080	11	-	0	False	2024-06-11 16:44:01.000000 	N/A	Disabled
548	424	wininit.exe	0xa08516c52080	1	-	0	False	2024-06-11 16:44:02.000000 	N/A	Disabled
556	540	csrss.exe	0xa08516c54140	12	-	1	False	2024-06-11 16:44:02.000000 	N/A	Disabled
648	540	winlogon.exe	0xa08516c9d080	3	-	1	False	2024-06-11 16:44:03.000000 	N/A	Disabled
668	548	services.exe	0xa08516c9e080	5	-	0	False	2024-06-11 16:44:03.000000 	N/A	Disabled
712	548	lsass.exe	0xa08516c49080	8	-	0	False	2024-06-11 16:44:03.000000 	N/A	Disabled
824	668	svchost.exe	0xa08516d2a240	11	-	0	False	2024-06-11 16:44:06.000000 	N/A	Disabled
848	648	fontdrvhost.ex	0xa08516d3d140	5	-	1	False	2024-06-11 16:44:06.000000 	N/A	Disabled
856	548	fontdrvhost.ex	0xa08516d3b140	5	-	0	False	2024-06-11 16:44:06.000000 	N/A	Disabled
940	668	svchost.exe	0xa08516dcd2c0	9	-	0	False	2024-06-11 16:44:06.000000 	N/A	Disabled
992	668	svchost.exe	0xa08516e20240	5	-	0	False	2024-06-11 16:44:07.000000 	N/A	Disabled
388	648	dwm.exe	0xa08516e5f080	14	-	1	False	2024-06-11 16:44:07.000000 	N/A	Disabled
844	668	svchost.exe	0xa08516ec3300	3	-	0	False	2024-06-11 16:44:08.000000 	N/A	Disabled
372	668	svchost.exe	0xa08516ec6280	1	-	0	False	2024-06-11 16:44:08.000000 	N/A	Disabled
1036	668	svchost.exe	0xa08516ecb300	1	-	0	False	2024-06-11 16:44:08.000000 	N/A	Disabled
1124	668	svchost.exe	0xa08516f412c0	2	-	0	False	2024-06-11 16:44:08.000000 	N/A	Disabled
1184	668	svchost.exe	0xa08516f6b240	8	-	0	False	2024-06-11 16:44:08.000000 	N/A	Disabled
1216	668	svchost.exe	0xa08516f86240	2	-	0	False	2024-06-11 16:44:08.000000 	N/A	Disabled
1260	668	svchost.exe	0xa08516faa300	7	-	0	False	2024-06-11 16:44:08.000000 	N/A	Disabled
1332	668	svchost.exe	0xa08516fc2240	4	-	0	False	2024-06-11 16:44:09.000000 	N/A	Disabled
1448	668	svchost.exe	0xa08517e722c0	3	-	0	False	2024-06-11 16:44:09.000000 	N/A	Disabled
1488	668	svchost.exe	0xa08517f0d300	1	-	0	False	2024-06-11 16:44:09.000000 	N/A	Disabled
1564	668	svchost.exe	0xa08517ea8280	3	-	0	False	2024-06-11 16:44:10.000000 	N/A	Disabled
1576	668	svchost.exe	0xa08517ec8300	5	-	0	False	2024-06-11 16:44:10.000000 	N/A	Disabled
1584	668	svchost.exe	0xa08517ec7080	2	-	0	False	2024-06-11 16:44:10.000000 	N/A	Disabled
1592	668	svchost.exe	0xa08517ea62c0	4	-	0	False	2024-06-11 16:44:10.000000 	N/A	Disabled
1712	4	MemCompression	0xa08517f2d040	42	-	N/A	False	2024-06-11 16:44:10.000000 	N/A	Disabled
1772	668	svchost.exe	0xa08517f31240	2	-	0	False	2024-06-11 16:44:11.000000 	N/A	Disabled
1796	668	svchost.exe	0xa0851a03a2c0	2	-	0	False	2024-06-11 16:44:11.000000 	N/A	Disabled
1840	668	svchost.exe	0xa0851a03f280	2	-	0	False	2024-06-11 16:44:11.000000 	N/A	Disabled
1848	668	svchost.exe	0xa0851a041300	5	-	0	False	2024-06-11 16:44:11.000000 	N/A	Disabled
1868	668	svchost.exe	0xa0851a0772c0	4	-	0	False	2024-06-11 16:44:11.000000 	N/A	Disabled
1996	668	svchost.exe	0xa0851a13c080	6	-	0	False	2024-06-11 16:44:12.000000 	N/A	Disabled
2060	668	svchost.exe	0xa08515577080	7	-	0	False	2024-06-11 16:44:13.000000 	N/A	Disabled
2072	668	svchost.exe	0xa08515571080	2	-	0	False	2024-06-11 16:44:13.000000 	N/A	Disabled
2124	668	svchost.exe	0xa085154ef080	9	-	0	False	2024-06-11 16:44:13.000000 	N/A	Disabled
2132	668	svchost.exe	0xa085154ed080	3	-	0	False	2024-06-11 16:44:13.000000 	N/A	Disabled
2140	668	svchost.exe	0xa085154eb080	4	-	0	False	2024-06-11 16:44:13.000000 	N/A	Disabled
2280	668	svchost.exe	0xa0851a23b300	5	-	0	False	2024-06-11 16:44:14.000000 	N/A	Disabled
2388	668	svchost.exe	0xa0851a26d240	2	-	0	False	2024-06-11 16:44:14.000000 	N/A	Disabled
2484	668	svchost.exe	0xa0851a2f9240	3	-	0	False	2024-06-11 16:44:15.000000 	N/A	Disabled
2584	668	svchost.exe	0xa0851a3130c0	1	-	0	False	2024-06-11 16:44:15.000000 	N/A	Disabled
